it,ft,bt,transmission,ownerNo,oem,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Engine,Seats_1,Color,Gear Box,Drive Type,City
0,Petrol,SUV,Automatic,1,Kia,Kia Seltos,2020,₹ 17.25 Lakh,Comprehensive,"14,000 Kms",16.5 kmpl,1353 CC,5,White,7-Speed DCT,FWD,Bangalore
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai EON,2014,₹ 3.30 Lakh,Comprehensive,"29,268 Kms",21.1 kmpl,814 CC,5,White,5 Speed,FWD,Bangalore
0,Petrol,Sedan,Automatic,1,Volkswagen,Volkswagen Vento,2019,₹ 9.90 Lakh,Third Party insurance,"20,000 Kms",18.19 kmpl,1197 CC,5,Others,7 Speed,FWD,Bangalore
0,Petrol,Sedan,Manual,1,Toyota,Toyota Yaris,2018,₹ 7.50 Lakh,Third Party insurance,"30,000 Kms",17.1 kmpl,1496 CC,5,Others,6 Speed,FWD,Bangalore
0,Petrol,Hatchback,Automatic,1,Honda,Honda Jazz,2018,₹ 7.55 Lakh,,"64,374 Kms",19 kmpl,1199 CC,5,Grey,5 Speed,FWD,Bangalore
0,Diesel,SUV,Manual,1,MG,MG Hector,2021,₹ 17.50 Lakh,Third Party insurance,"30,000 Kms",17.41 kmpl,1956 CC,5,Others,6 Speed,FWD,Bangalore
0,Petrol,SUV,Automatic,1,Hyundai,Hyundai Alcazar,2022,₹ 20.83 Lakh,Comprehensive,"7,100 Kms",14.2 kmpl,1999 CC,6,White,6-speed,,Bangalore
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i10,2010,₹ 2.71 Lakh,Comprehensive,"43,679 Kms",19.81 kmpl,1086 CC,5,Silver,5 Speed,FWD,Bangalore
0,Petrol,SUV,Automatic,1,Hyundai,Hyundai Creta,2018,₹ 12.80 Lakh,Third Party insurance,"40,000 Kms",14.8 kmpl,1591 CC,5,Others,6 Speed,FWD,Bangalore
0,Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20,2012,₹ 4.36 Lakh,Third Party,"40,562 Kms",22.54 kmpl,1396 CC,5,Red,6 Speed,FWD,Bangalore
0,Petrol,SUV,Automatic,2,Hyundai,Hyundai Creta,2021,₹ 16.75 Lakh,Comprehensive,"26,500 Kms",,1397 CC,5,White,7-speed DCT,,Bangalore
0,Petrol,SUV,Automatic,1,Hyundai,Hyundai Venue,2019,₹ 12.50 Lakh,Third Party insurance,"20,000 Kms",18.15 kmpl,998 CC,5,Others,7-Speed,FWD,Bangalore
0,Diesel,SUV,Automatic,1,Mahindra,Mahindra XUV500,2016,₹ 13.50 Lakh,Third Party insurance,"58,600 Kms",16 kmpl,2179 CC,7,Silver,6 Speed,FWD,Bangalore
0,Petrol,SUV,Automatic,1,Hyundai,Hyundai Venue,2019,₹ 12.50 Lakh,Third Party insurance,"20,000 Kms",18.15 kmpl,998 CC,5,Others,7-Speed,FWD,Bangalore
0,Petrol,SUV,Automatic,1,Volkswagen,Volkswagen T-Roc,2020,₹ 22.25 Lakh,Comprehensive,"42,050 Kms",18.4 kmpl,1498 CC,5,White,7 Speed DSG,FWD,Bangalore
0,Petrol,Hatchback,Automatic,1,Maruti,Maruti Celerio,2015,₹ 4.75 Lakh,2,"65,017 Kms",23.1 kmpl,998 CC,5,White,5 Speed ,FWD,Bangalore
0,Diesel,Sedan,Automatic,2,BMW,BMW 3 Series,2008,₹ 6 Lakh,Third Party insurance,"80,000 Kms",13.2 kmpl,1995 CC,5,Others,6 Speed,,Bangalore
0,Petrol,SUV,Automatic,1,Jeep,Jeep Compass,2021,₹ 24.50 Lakh,Third Party insurance,"30,000 Kms",14.1 kmpl,1368 CC,5,Others,7 Speed DCT,4x2,Bangalore
0,Petrol,SUV,Automatic,1,Kia,Kia Seltos,2020,₹ 16.25 Lakh,Third Party insurance,"20,000 Kms",16.5 kmpl,1353 CC,5,Others,7-Speed DCT,FWD,Bangalore
0,Diesel,Sedan,Automatic,1,Skoda,Skoda Superb,2014,₹ 16.50 Lakh,,"36,349 Kms",17.2 kmpl,1968 CC,5,White,6 Speed,FWD,Bangalore
0,Petrol,Hatchback,Manual,3,Hyundai,Hyundai i10,2009,₹ 2.49 Lakh,Third Party insurance,"80,000 Kms",20.36 kmpl,1197 CC,5,Others,5 Speed,FWD,Bangalore
0,Petrol,SUV,Manual,2,Renault,Renault Duster,2014,₹ 6.30 Lakh,,"83,394 Kms",13.24 kmpl,1598 CC,5,Red,5 Speed,FWD,Bangalore
0,Diesel,SUV,Automatic,2,Audi,Audi Q5,2016,₹ 25.99 Lakh,Third Party insurance,"30,000 Kms",14.16 kmpl,1968 CC,5,Others,7 Speed,AWD,Bangalore
0,Petrol,Hatchback,Manual,3,Hyundai,Hyundai i10,2009,₹ 2.49 Lakh,Third Party insurance,"80,000 Kms",20.36 kmpl,1197 CC,5,Others,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Alto K10,2017,₹ 3.85 Lakh,Third Party,"52,204 Kms",24.39 kmpl,998 CC,5,Silver,5 Speed,,Bangalore
0,Petrol,Hatchback,Manual,3,Hyundai,Hyundai i20,2012,₹ 3 Lakh,Third Party insurance,"1,10,000 Kms",17 kmpl,1197 CC,5,Red,5 Speed,FWD,Bangalore
0,Diesel,SUV,Automatic,1,Ford,Ford Endeavour,2017,₹ 29.75 Lakh,Third Party insurance,"89,000 Kms",10.91 kmpl,3198 CC,7,Black,6 Speed,4WD,Bangalore
0,Petrol,Hatchback,Manual,2,Maruti,Maruti Alto 800,2014,₹ 2.76 Lakh,Comprehensive,"29,813 Kms",22.05 kmpl,796 CC,5,Others,5 Speed,,Bangalore
0,Petrol,Hatchback,Manual,1,Ford,Ford Figo,2018,₹ 5 Lakh,Third Party insurance,"30,000 Kms",18.16 kmpl,1196 CC,5,Gray,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,Automatic,1,Maruti,Maruti Ignis,2020,₹ 7.30 Lakh,Comprehensive,"13,345 Kms",20.89 kmpl,1197 CC,5,White,5 Speed,FWD,Bangalore
0,Diesel,SUV,Automatic,1,Hyundai,Hyundai Alcazar,2022,₹ 22.45 Lakh,Comprehensive,"17,100 Kms",18.1 kmpl,1498 CC,7,Grey,6-speed,,Bangalore
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2014,₹ 3.99 Lakh,Comprehensive,"75,000 Kms",18.9 kmpl,1197 CC,5,Grey,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i10,2011,₹ 3.12 Lakh,Comprehensive,"75,523 Kms",20.36 kmpl,1197 CC,5,Red,5 Speed,FWD,Bangalore
0,Diesel,SUV,Manual,1,Mahindra,Mahindra XUV500,2015,₹ 12.75 Lakh,Comprehensive,"47,000 Kms",16 kmpl,2179 CC,7,Silver,6 Speed,FWD,Bangalore
0,Diesel,SUV,Manual,1,Tata,Tata Harrier,2022,₹ 19.90 Lakh,Comprehensive,"36,500 Kms",16.35 kmpl,1956 CC,5,White,6-Speed,,Bangalore
